CasoPeorBurbujaNormal;CasoMedioBurbujaNormal;CasoMejorBurbujaNormal;CasoPeorSeleccionDirectaNormal;CasoMedioSeleccionDirectaNormal;CasoMejorSeleccionDirectaNormal;CasoPeorMezclaNormal;CasoMedioMezclaNormal;CasoMejorMezclaNormal;CasoPeorBurbujaVolatile;CasoMedioBurbujaVolatile;CasoMejorBurbujaVolatile;CasoPeorSeleccionDirectaVolatile;CasoMedioSeleccionDirectaVolatile;CasoMejorSeleccionDirectaVolatile;CasoPeorMezclaVolatile;CasoMedioMezclaVolatile;CasoMejorMezclaVolatile;
   51100;    8200;    1600;   32100;    3400;    3100;    3900;    1900;    1500;   52000;    8300;    1500;   27500;    3400;    3000;    3100;    2900;    2200;
   53100;   12700;    1600;   36200;    3600;    2400;    3800;    2700;    1500;   54000;   16500;    1400;   28300;    4000;    3100;    3000;    2900;    2200;
   63900;    8600;    1700;   32300;    3500;    2500;    3800;    2800;    1500;   55400;   12700;    1500;   29500;    3600;   16800;    2900;    4100;    2300;
   57200;    8800;    1700;   34100;    5800;    2600;    4500;    3200;    1500;   56300;   12600;    1600;   30000;    6400;    3400;    3400;    4200;    2300;
   57800;    9300;    1700;   32000;    3800;    2600;    3800;    3100;    1500;   57900;   13500;    1700;   30900;    3800;    3500;    3200;    3100;    2300;
   59900;    9200;    1800;   33000;    3900;    2800;    4200;    3400;    1600;   61300;   13200;    1600;   32100;    3900;    3500;    3400;    3300;    2400;
   69700;    9500;    1800;   42400;    4000;    2900;    4800;    3200;    1500;   70900;   14200;    1600;   42400;    3900;    3600;    3500;    3100;    2400;
   61500;   10500;    1900;   34100;    4100;    2900;    3800;    3000;    1600;   63200;   14000;    1700;   34100;    4100;    3700;    3900;    2900;    2400;
   63100;   10300;    2200;   33900;    4300;    3100;    4000;    3200;    1700;   64400;   13200;    1600;   33300;    4200;    3800;    3400;    3100;    2500;
   48900;   10900;    2000;   34300;    4300;    3100;    4200;    3800;    1600;   53700;   15100;    1900;   33600;    4300;    4000;    3400;    3300;    2800;
   29200;   10800;    2100;   34400;    5600;    3300;    6800;    3100;    1700;   19300;   16400;    1800;   34800;    4400;    4100;    3300;    3100;    2700;
   13100;   12500;    2300;   36100;    4600;    3300;    4100;    3200;    1600;   18600;   16400;    2000;   35200;    4500;    4200;    5500;    3800;    2400;
   17200;   15500;    2200;   53700;    4700;    3400;    4200;    3200;    1700;   22600;   18900;    1900;   40700;    4700;    4300;    3500;    3100;    3700;
   17900;   16500;    2500;   13800;    5000;    3400;    4300;    5600;    1700;   22800;   19300;    2000;   22000;    4600;    4400;    3400;    3500;    3400;
   17900;   16300;    2300;   15500;    5000;    3700;    5300;    3300;    1700;   23400;   18700;    2000;   17300;    5000;    4500;    3700;    3200;    2600;
    9400;   17300;    2300;   10500;    5100;    5600;    4300;    3300;    1700;   23200;   19000;    2200;   18100;    5000;    4600;    4300;    4800;    2600;
    8900;   17300;    2400;   17700;    6600;    4100;    4900;    4000;    1800;   10600;   20400;    1500;   15500;    5200;    4700;    3900;    4500;    3400;
    9400;   17000;    2400;   15300;    5300;    3900;    5400;    3700;    1900;   11300;   20800;    1400;   13600;    5300;    9300;    4200;    6100;    3200;
    9400;   16600;    2400;   12700;    5500;    4100;    4900;    3500;    1800;   12900;   22200;    1500;   11000;    5400;    5100;    3800;    4600;    2600;
    9400;   18600;    2500;   18100;    5700;    4100;    4500;    4400;    1900;    9800;   22100;    1400;   16300;    5500;    5200;    4500;    3400;    3600;
   18100;   20100;    2600;   14200;    5800;    4300;    5500;    3900;    1800;   24100;   23300;    1500;   12600;    5700;    5200;    3900;    4600;    2700;
   10100;   19800;    2900;   18000;    5700;    4500;    4500;    4200;    2200;   15300;   22000;    1600;   21700;    6900;   12700;    4000;    3400;    3800;
   11300;   19800;    2500;   17500;    7100;    4400;    6100;    3500;    1900;   15700;   23400;    1900;   20700;    5900;    5500;    9500;    3500;    2800;
   10500;   22700;    2800;   14500;    6000;    4700;    4700;    3800;    2000;   14500;   23600;    2000;   13100;    6100;    5700;    4400;    3500;    2800;
   10900;   24300;    2800;   13800;    6300;    4800;    5800;    3800;    2000;   17100;   23900;    2100;   15100;    6200;    5800;    4100;    3600;    4200;
   10900;   20900;    2700;   12800;    6500;    4900;    4900;    3800;    1900;   17800;   26500;    1800;   16100;    6400;    5900;    4700;    4400;    2800;
   11300;   19400;    2800;   15100;    6600;    5100;    5900;    3700;    2000;   15500;   23800;    1700;   16400;    6700;    6100;    4200;    3900;    3700;
   11400;   20800;    2700;   14000;    7700;    5100;    5200;    3600;    1900;   15700;   27900;    1700;   15400;    6700;    6300;    4200;    4500;    2800;
   11800;   19300;    2800;   16700;    6800;    5400;    6100;    4200;    2000;   18800;   40300;    1700;   14700;    8000;    6300;    5100;    4000;    2900;
   11800;   19100;    2800;   13900;    6900;    7600;    6000;    4900;    2000;   17500;   16200;    1800;   10300;    7000;    6500;    4600;    4100;    3600;
   12300;   23500;    3000;   14700;    7100;    5500;    6600;    4200;    2100;   21500;   17600;    1800;   10800;    7100;    6600;    4500;    4800;    2800;
   12200;   23000;    3100;   16500;    8300;    5700;    5300;    4600;    2000;   20900;   17300;    1800;   10800;    7200;    6800;    4500;    5300;    3700;
   12900;   20700;    3100;   16700;    7500;    5800;    6500;    4000;    2200;   21900;   17700;    2100;   10900;    7500;    7000;    4900;    6800;    3000;
   13000;   18900;    3100;   17200;    7500;    5800;    6200;    4500;    2200;   26000;   17800;    2200;   10700;    9200;    7200;    4800;    4000;    3800;
   13000;   20200;    3200;   19800;    7900;    6300;    5900;    6200;    2100;   23100;   18500;    2400;   11500;    7700;    7300;    4800;    4500;    3900;
   13400;   27100;    3400;   21600;    7600;    6100;    6700;    3900;    2100;   26000;   18500;    2000;   11600;    7700;    7300;    5300;    5700;    4200;
   14000;   25000;    3300;   20900;    9300;    6300;    6300;    4800;    2200;   25800;   22000;    3100;   11500;    7900;    7700;    4700;    4200;    4400;
   13800;   28100;    3500;   21500;    8200;    6400;    5700;    5300;    2200;   25000;   23000;    3100;   12400;    8200;    7700;    4900;    4100;    3900;
   14700;   27600;    3600;   21200;    8400;    6500;    6900;    4000;    2200;   25800;   19700;    3300;   12200;    9600;    7900;    4700;    6300;    2900;
